,guid,color,isCodable,name,lvl_1,lvl_2,lvl_3
31,AF54E626-5DB3-4DC7-86BB-2595F87B171C,#F00082,true,Questions > specificity > detailed,Questions,specificity,detailed
32,FF9A0AB3-3FDA-4EA2-907D-792F183109FC,#F00082,true,Questions > specificity > vague,Questions,specificity,vague
33,3EE7B6B2-7D7A-410B-A647-DD3BE0C8FB1C,#F00082,true,Questions > question > guiding,Questions,question,guiding
34,7B68ECBA-2749-4776-B260-A81487335047,#F00082,true,Questions > question > personal,Questions,question,personal
35,534411C7-5244-44CF-92D4-81179EDF168D,#F00082,true,Questions > question > checkIfCorrect,Questions,question,checkIfCorrect
36,4FF70B3A-7C4C-41F7-8588-46D728150616,#F00082,true,Questions > question > checkForFollowing,Questions,question,checkForFollowing
37,6C367D66-7EBE-4C5C-BD16-7D332FA53A55,#F00082,true,Questions > question > content,Questions,question,content
38,A64C5184-4DB7-4263-A5FF-C342F2ECD671,#8C32A0,true,Explanations and help > confidenceLevel > phrasedAsUnsure,Explanations and help,confidenceLevel,phrasedAsUnsure
39,E35A8596-D7AB-4540-918D-BF869846C5CB,#8C32A0,true,Explanations and help > confidenceLevel > phrasedAsCertain,Explanations and help,confidenceLevel,phrasedAsCertain
40,C3888D97-94AA-4521-BAAA-F1F6AB2CF96A,#8C32A0,true,Explanations and help > confidenceLevel > phrasedAsQuestion,Explanations and help,confidenceLevel,phrasedAsQuestion
41,47A85B93-33D7-403D-A0AD-E2396DDC0474,#8C32A0,true,Explanations and help > communicationMechanism > guideInteractively,Explanations and help,communicationMechanism,guideInteractively
42,7C3B0402-6F4F-47B8-8360-6BCC4EB1A94D,#8C32A0,true,Explanations and help > communicationMechanism > state,Explanations and help,communicationMechanism,state
43,7BA8BB75-1C87-4C29-B421-A47F3AADE828,#8C32A0,true,Explanations and help > communicationMechanism > implement,Explanations and help,communicationMechanism,implement
44,07E06FC1-375D-4486-987E-3822A943D48F,#8C32A0,true,Explanations and help > communicationMechanism > teachWithExtensions,Explanations and help,communicationMechanism,teachWithExtensions
45,CBC2A761-D76A-454D-B746-CC7CC056D0D8,#8C32A0,true,Explanations and help > communicationMechanism > suggest,Explanations and help,communicationMechanism,suggest
46,8A2434C0-CAD2-42B7-8438-73E9066B7EC5,#8C32A0,true,Explanations and help > communicationMechanism > negativeConfirmation,Explanations and help,communicationMechanism,negativeConfirmation
47,AE184BD2-6DF4-492B-B4FE-F7D446C30B51,#8C32A0,true,Explanations and help > communicationMechanism > positiveConfirmation,Explanations and help,communicationMechanism,positiveConfirmation
48,F5118719-52BC-4694-928B-6618419F596B,#8C32A0,true,Explanations and help > communicationMechanism > explain,Explanations and help,communicationMechanism,explain
