code,outcome,count
"Helping > (explain, phrasedAsCertain, errorMsg, unknown)",F,0
"Helping > (explain, phrasedAsCertain, errorMsg, unknown)",S,0
"Helping > (explain, phrasedAsCertain, errorMsg, vague)",F,0
"Helping > (explain, phrasedAsCertain, errorMsg, vague)",S,1
"Helping > (explain, phrasedAsCertain, learningResources, detailed)",F,2
"Helping > (explain, phrasedAsCertain, learningResources, detailed)",S,0
"Helping > (explain, phrasedAsCertain, learningResources, unknown)",F,0
"Helping > (explain, phrasedAsCertain, learningResources, unknown)",S,0
"Helping > (explain, phrasedAsCertain, learningResources, vague)",F,1
"Helping > (explain, phrasedAsCertain, learningResources, vague)",S,2
"Helping > (explain, phrasedAsCertain, originalCode, detailed)",F,27
"Helping > (explain, phrasedAsCertain, originalCode, detailed)",S,40
"Helping > (explain, phrasedAsCertain, originalCode, unknown)",F,4
"Helping > (explain, phrasedAsCertain, originalCode, unknown)",S,2
"Helping > (explain, phrasedAsCertain, originalCode, vague)",F,15
"Helping > (explain, phrasedAsCertain, originalCode, vague)",S,16
"Helping > (explain, phrasedAsCertain, personalInfo, detailed)",F,2
"Helping > (explain, phrasedAsCertain, personalInfo, detailed)",S,0
"Helping > (explain, phrasedAsCertain, personalInfo, unknown)",F,0
"Helping > (explain, phrasedAsCertain, personalInfo, unknown)",S,0
"Helping > (explain, phrasedAsCertain, personalInfo, vague)",F,1
"Helping > (explain, phrasedAsCertain, personalInfo, vague)",S,0
"Helping > (explain, phrasedAsCertain, platformRelated, detailed)",F,3
"Helping > (explain, phrasedAsCertain, platformRelated, detailed)",S,7
"Helping > (explain, phrasedAsCertain, platformRelated, unknown)",F,1
"Helping > (explain, phrasedAsCertain, platformRelated, unknown)",S,0
"Helping > (explain, phrasedAsCertain, platformRelated, vague)",F,4
"Helping > (explain, phrasedAsCertain, platformRelated, vague)",S,5
"Helping > (explain, phrasedAsCertain, proposedNewCode, detailed)",F,63
"Helping > (explain, phrasedAsCertain, proposedNewCode, detailed)",S,162
"Helping > (explain, phrasedAsCertain, proposedNewCode, unknown)",F,11
"Helping > (explain, phrasedAsCertain, proposedNewCode, unknown)",S,12
"Helping > (explain, phrasedAsCertain, proposedNewCode, vague)",F,27
"Helping > (explain, phrasedAsCertain, proposedNewCode, vague)",S,46
"Helping > (explain, phrasedAsCertain, testCases, detailed)",F,5
"Helping > (explain, phrasedAsCertain, testCases, detailed)",S,11
"Helping > (explain, phrasedAsCertain, testCases, unknown)",F,3
"Helping > (explain, phrasedAsCertain, testCases, unknown)",S,0
"Helping > (explain, phrasedAsCertain, testCases, vague)",F,1
"Helping > (explain, phrasedAsCertain, testCases, vague)",S,6
"Helping > (explain, phrasedAsUnsure, bug, detailed)",F,2
"Helping > (explain, phrasedAsUnsure, bug, detailed)",S,7
"Helping > (explain, phrasedAsUnsure, bug, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, bug, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, bug, vague)",F,5
"Helping > (explain, phrasedAsUnsure, bug, vague)",S,5
"Helping > (explain, phrasedAsUnsure, codeOpinion, detailed)",F,0
"Helping > (explain, phrasedAsUnsure, codeOpinion, detailed)",S,0
"Helping > (explain, phrasedAsUnsure, codeOpinion, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, codeOpinion, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, codeOpinion, vague)",F,0
"Helping > (explain, phrasedAsUnsure, codeOpinion, vague)",S,0
"Helping > (explain, phrasedAsUnsure, codeSpecifications, detailed)",F,4
"Helping > (explain, phrasedAsUnsure, codeSpecifications, detailed)",S,2
"Helping > (explain, phrasedAsUnsure, codeSpecifications, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, codeSpecifications, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, codeSpecifications, vague)",F,0
"Helping > (explain, phrasedAsUnsure, codeSpecifications, vague)",S,1
"Helping > (explain, phrasedAsUnsure, codingConcept, detailed)",F,2
"Helping > (explain, phrasedAsUnsure, codingConcept, detailed)",S,1
"Helping > (explain, phrasedAsUnsure, codingConcept, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, codingConcept, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, codingConcept, vague)",F,1
"Helping > (explain, phrasedAsUnsure, codingConcept, vague)",S,0
"Helping > (explain, phrasedAsUnsure, codingExperience, detailed)",F,0
"Helping > (explain, phrasedAsUnsure, codingExperience, detailed)",S,0
"Helping > (explain, phrasedAsUnsure, codingExperience, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, codingExperience, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, codingExperience, vague)",F,0
"Helping > (explain, phrasedAsUnsure, codingExperience, vague)",S,0
"Helping > (explain, phrasedAsUnsure, developmentStrategy, detailed)",F,0
"Helping > (explain, phrasedAsUnsure, developmentStrategy, detailed)",S,0
"Helping > (explain, phrasedAsUnsure, developmentStrategy, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, developmentStrategy, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, developmentStrategy, vague)",F,0
"Helping > (explain, phrasedAsUnsure, developmentStrategy, vague)",S,0
"Helping > (explain, phrasedAsUnsure, errorLocation, detailed)",F,0
"Helping > (explain, phrasedAsUnsure, errorLocation, detailed)",S,0
"Helping > (explain, phrasedAsUnsure, errorLocation, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, errorLocation, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, errorLocation, vague)",F,0
"Helping > (explain, phrasedAsUnsure, errorLocation, vague)",S,0
"Helping > (explain, phrasedAsUnsure, errorMsg, detailed)",F,0
"Helping > (explain, phrasedAsUnsure, errorMsg, detailed)",S,0
"Helping > (explain, phrasedAsUnsure, errorMsg, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, errorMsg, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, errorMsg, vague)",F,0
"Helping > (explain, phrasedAsUnsure, errorMsg, vague)",S,0
"Helping > (explain, phrasedAsUnsure, learningResources, detailed)",F,0
"Helping > (explain, phrasedAsUnsure, learningResources, detailed)",S,0
"Helping > (explain, phrasedAsUnsure, learningResources, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, learningResources, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, learningResources, vague)",F,0
"Helping > (explain, phrasedAsUnsure, learningResources, vague)",S,0
"Helping > (explain, phrasedAsUnsure, originalCode, detailed)",F,1
"Helping > (explain, phrasedAsUnsure, originalCode, detailed)",S,3
"Helping > (explain, phrasedAsUnsure, originalCode, unknown)",F,1
"Helping > (explain, phrasedAsUnsure, originalCode, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, originalCode, vague)",F,2
"Helping > (explain, phrasedAsUnsure, originalCode, vague)",S,1
"Helping > (explain, phrasedAsUnsure, personalInfo, detailed)",F,0
"Helping > (explain, phrasedAsUnsure, personalInfo, detailed)",S,0
"Helping > (explain, phrasedAsUnsure, personalInfo, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, personalInfo, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, personalInfo, vague)",F,0
"Helping > (explain, phrasedAsUnsure, personalInfo, vague)",S,0
"Helping > (explain, phrasedAsUnsure, platformRelated, detailed)",F,0
"Helping > (explain, phrasedAsUnsure, platformRelated, detailed)",S,0
"Helping > (explain, phrasedAsUnsure, platformRelated, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, platformRelated, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, platformRelated, vague)",F,0
"Helping > (explain, phrasedAsUnsure, platformRelated, vague)",S,0
"Helping > (explain, phrasedAsUnsure, proposedNewCode, detailed)",F,10
"Helping > (explain, phrasedAsUnsure, proposedNewCode, detailed)",S,3
"Helping > (explain, phrasedAsUnsure, proposedNewCode, unknown)",F,0
"Helping > (explain, phrasedAsUnsure, proposedNewCode, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, proposedNewCode, vague)",F,1
"Helping > (explain, phrasedAsUnsure, proposedNewCode, vague)",S,3
"Helping > (explain, phrasedAsUnsure, testCases, detailed)",F,1
"Helping > (explain, phrasedAsUnsure, testCases, detailed)",S,1
"Helping > (explain, phrasedAsUnsure, testCases, unknown)",F,1
"Helping > (explain, phrasedAsUnsure, testCases, unknown)",S,0
"Helping > (explain, phrasedAsUnsure, testCases, vague)",F,0
"Helping > (explain, phrasedAsUnsure, testCases, vague)",S,0
"Helping > (explain, unknown, bug, detailed)",F,0
"Helping > (explain, unknown, bug, detailed)",S,0
"Helping > (explain, unknown, bug, unknown)",F,0
"Helping > (explain, unknown, bug, unknown)",S,0
"Helping > (explain, unknown, bug, vague)",F,0
"Helping > (explain, unknown, bug, vague)",S,0
"Helping > (explain, unknown, codeOpinion, detailed)",F,0
"Helping > (explain, unknown, codeOpinion, detailed)",S,0
"Helping > (explain, unknown, codeOpinion, unknown)",F,0
"Helping > (explain, unknown, codeOpinion, unknown)",S,0
"Helping > (explain, unknown, codeOpinion, vague)",F,0
"Helping > (explain, unknown, codeOpinion, vague)",S,0
"Helping > (explain, unknown, codeSpecifications, detailed)",F,0
"Helping > (explain, unknown, codeSpecifications, detailed)",S,2
"Helping > (explain, unknown, codeSpecifications, unknown)",F,0
"Helping > (explain, unknown, codeSpecifications, unknown)",S,0
"Helping > (explain, unknown, codeSpecifications, vague)",F,0
"Helping > (explain, unknown, codeSpecifications, vague)",S,0
"Helping > (explain, unknown, codingConcept, detailed)",F,0
"Helping > (explain, unknown, codingConcept, detailed)",S,1
"Helping > (explain, unknown, codingConcept, unknown)",F,0
"Helping > (explain, unknown, codingConcept, unknown)",S,0
"Helping > (explain, unknown, codingConcept, vague)",F,0
"Helping > (explain, unknown, codingConcept, vague)",S,0
"Helping > (explain, unknown, codingExperience, detailed)",F,0
"Helping > (explain, unknown, codingExperience, detailed)",S,0
"Helping > (explain, unknown, codingExperience, unknown)",F,0
"Helping > (explain, unknown, codingExperience, unknown)",S,0
"Helping > (explain, unknown, codingExperience, vague)",F,0
"Helping > (explain, unknown, codingExperience, vague)",S,0
"Helping > (explain, unknown, developmentStrategy, detailed)",F,0
"Helping > (explain, unknown, developmentStrategy, detailed)",S,1
"Helping > (explain, unknown, developmentStrategy, unknown)",F,0
"Helping > (explain, unknown, developmentStrategy, unknown)",S,0
"Helping > (explain, unknown, developmentStrategy, vague)",F,0
"Helping > (explain, unknown, developmentStrategy, vague)",S,0
"Helping > (explain, unknown, errorLocation, detailed)",F,0
"Helping > (explain, unknown, errorLocation, detailed)",S,0
"Helping > (explain, unknown, errorLocation, unknown)",F,0
"Helping > (explain, unknown, errorLocation, unknown)",S,0
"Helping > (explain, unknown, errorLocation, vague)",F,0
"Helping > (explain, unknown, errorLocation, vague)",S,0
"Helping > (explain, unknown, errorMsg, detailed)",F,0
"Helping > (explain, unknown, errorMsg, detailed)",S,0
"Helping > (explain, unknown, errorMsg, unknown)",F,0
"Helping > (explain, unknown, errorMsg, unknown)",S,0
"Helping > (explain, unknown, errorMsg, vague)",F,0
"Helping > (explain, unknown, errorMsg, vague)",S,0
"Helping > (explain, unknown, learningResources, detailed)",F,0
"Helping > (explain, unknown, learningResources, detailed)",S,0
"Helping > (explain, unknown, learningResources, unknown)",F,0
"Helping > (explain, unknown, learningResources, unknown)",S,0
"Helping > (explain, unknown, learningResources, vague)",F,0
"Helping > (explain, unknown, learningResources, vague)",S,0
"Helping > (explain, unknown, originalCode, detailed)",F,0
"Helping > (explain, unknown, originalCode, detailed)",S,1
"Helping > (explain, unknown, originalCode, unknown)",F,0
"Helping > (explain, unknown, originalCode, unknown)",S,0
"Helping > (explain, unknown, originalCode, vague)",F,0
"Helping > (explain, unknown, originalCode, vague)",S,1
"Helping > (explain, unknown, personalInfo, detailed)",F,0
"Helping > (explain, unknown, personalInfo, detailed)",S,0
"Helping > (explain, unknown, personalInfo, unknown)",F,0
"Helping > (explain, unknown, personalInfo, unknown)",S,0
"Helping > (explain, unknown, personalInfo, vague)",F,0
"Helping > (explain, unknown, personalInfo, vague)",S,0
"Helping > (explain, unknown, platformRelated, detailed)",F,0
"Helping > (explain, unknown, platformRelated, detailed)",S,0
"Helping > (explain, unknown, platformRelated, unknown)",F,0
"Helping > (explain, unknown, platformRelated, unknown)",S,0
"Helping > (explain, unknown, platformRelated, vague)",F,0
"Helping > (explain, unknown, platformRelated, vague)",S,1
"Helping > (explain, unknown, proposedNewCode, detailed)",F,4
"Helping > (explain, unknown, proposedNewCode, detailed)",S,1
"Helping > (explain, unknown, proposedNewCode, unknown)",F,0
"Helping > (explain, unknown, proposedNewCode, unknown)",S,0
"Helping > (explain, unknown, proposedNewCode, vague)",F,1
"Helping > (explain, unknown, proposedNewCode, vague)",S,0
"Helping > (explain, unknown, testCases, detailed)",F,0
"Helping > (explain, unknown, testCases, detailed)",S,0
"Helping > (explain, unknown, testCases, unknown)",F,0
"Helping > (explain, unknown, testCases, unknown)",S,0
"Helping > (explain, unknown, testCases, vague)",F,0
"Helping > (explain, unknown, testCases, vague)",S,0
"Helping > (guideInteractively, phrasedAsCertain, bug, detailed)",F,3
"Helping > (guideInteractively, phrasedAsCertain, bug, detailed)",S,5
"Helping > (guideInteractively, phrasedAsCertain, bug, unknown)",F,1
"Helping > (guideInteractively, phrasedAsCertain, bug, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, bug, vague)",F,2
"Helping > (guideInteractively, phrasedAsCertain, bug, vague)",S,2
"Helping > (guideInteractively, phrasedAsCertain, codeOpinion, detailed)",F,0
"Helping > (guideInteractively, phrasedAsCertain, codeOpinion, detailed)",S,0
"Helping > (guideInteractively, phrasedAsCertain, codeOpinion, unknown)",F,0
"Helping > (guideInteractively, phrasedAsCertain, codeOpinion, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, codeOpinion, vague)",F,0
"Helping > (guideInteractively, phrasedAsCertain, codeOpinion, vague)",S,0
"Helping > (guideInteractively, phrasedAsCertain, codeSpecifications, detailed)",F,0
"Helping > (guideInteractively, phrasedAsCertain, codeSpecifications, detailed)",S,1
"Helping > (guideInteractively, phrasedAsCertain, codeSpecifications, unknown)",F,2
"Helping > (guideInteractively, phrasedAsCertain, codeSpecifications, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, codeSpecifications, vague)",F,1
"Helping > (guideInteractively, phrasedAsCertain, codeSpecifications, vague)",S,4
"Helping > (guideInteractively, phrasedAsCertain, codingConcept, detailed)",F,0
"Helping > (guideInteractively, phrasedAsCertain, codingConcept, detailed)",S,4
"Helping > (guideInteractively, phrasedAsCertain, codingConcept, unknown)",F,1
"Helping > (guideInteractively, phrasedAsCertain, codingConcept, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, codingConcept, vague)",F,2
"Helping > (guideInteractively, phrasedAsCertain, codingConcept, vague)",S,1
"Helping > (guideInteractively, phrasedAsCertain, codingExperience, detailed)",F,0
"Helping > (guideInteractively, phrasedAsCertain, codingExperience, detailed)",S,0
"Helping > (guideInteractively, phrasedAsCertain, codingExperience, unknown)",F,0
"Helping > (guideInteractively, phrasedAsCertain, codingExperience, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, codingExperience, vague)",F,0
"Helping > (guideInteractively, phrasedAsCertain, codingExperience, vague)",S,0
"Helping > (guideInteractively, phrasedAsCertain, developmentStrategy, detailed)",F,1
"Helping > (guideInteractively, phrasedAsCertain, developmentStrategy, detailed)",S,2
"Helping > (guideInteractively, phrasedAsCertain, developmentStrategy, unknown)",F,3
"Helping > (guideInteractively, phrasedAsCertain, developmentStrategy, unknown)",S,1
"Helping > (guideInteractively, phrasedAsCertain, developmentStrategy, vague)",F,6
"Helping > (guideInteractively, phrasedAsCertain, developmentStrategy, vague)",S,5
"Helping > (guideInteractively, phrasedAsCertain, errorLocation, detailed)",F,4
"Helping > (guideInteractively, phrasedAsCertain, errorLocation, detailed)",S,1
"Helping > (guideInteractively, phrasedAsCertain, errorLocation, unknown)",F,0
"Helping > (guideInteractively, phrasedAsCertain, errorLocation, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, errorLocation, vague)",F,0
"Helping > (guideInteractively, phrasedAsCertain, errorLocation, vague)",S,0
"Helping > (guideInteractively, phrasedAsCertain, errorMsg, detailed)",F,0
"Helping > (guideInteractively, phrasedAsCertain, errorMsg, detailed)",S,0
"Helping > (guideInteractively, phrasedAsCertain, errorMsg, unknown)",F,1
"Helping > (guideInteractively, phrasedAsCertain, errorMsg, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, errorMsg, vague)",F,0
"Helping > (guideInteractively, phrasedAsCertain, errorMsg, vague)",S,2
"Helping > (guideInteractively, phrasedAsCertain, learningResources, detailed)",F,0
"Helping > (guideInteractively, phrasedAsCertain, learningResources, detailed)",S,0
"Helping > (guideInteractively, phrasedAsCertain, learningResources, unknown)",F,0
"Helping > (guideInteractively, phrasedAsCertain, learningResources, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, learningResources, vague)",F,0
"Helping > (guideInteractively, phrasedAsCertain, learningResources, vague)",S,0
"Helping > (guideInteractively, phrasedAsCertain, originalCode, detailed)",F,0
"Helping > (guideInteractively, phrasedAsCertain, originalCode, detailed)",S,1
"Helping > (guideInteractively, phrasedAsCertain, originalCode, unknown)",F,1
"Helping > (guideInteractively, phrasedAsCertain, originalCode, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, originalCode, vague)",F,1
"Helping > (guideInteractively, phrasedAsCertain, originalCode, vague)",S,4
"Helping > (guideInteractively, phrasedAsCertain, personalInfo, detailed)",F,0
"Helping > (guideInteractively, phrasedAsCertain, personalInfo, detailed)",S,0
"Helping > (guideInteractively, phrasedAsCertain, personalInfo, unknown)",F,0
"Helping > (guideInteractively, phrasedAsCertain, personalInfo, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, personalInfo, vague)",F,0
"Helping > (guideInteractively, phrasedAsCertain, personalInfo, vague)",S,1
"Helping > (guideInteractively, phrasedAsCertain, platformRelated, detailed)",F,0
"Helping > (guideInteractively, phrasedAsCertain, platformRelated, detailed)",S,0
"Helping > (guideInteractively, phrasedAsCertain, platformRelated, unknown)",F,0
"Helping > (guideInteractively, phrasedAsCertain, platformRelated, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, platformRelated, vague)",F,1
"Helping > (guideInteractively, phrasedAsCertain, platformRelated, vague)",S,3
"Helping > (guideInteractively, phrasedAsCertain, proposedNewCode, detailed)",F,50
"Helping > (guideInteractively, phrasedAsCertain, proposedNewCode, detailed)",S,92
"Helping > (guideInteractively, phrasedAsCertain, proposedNewCode, unknown)",F,4
"Helping > (guideInteractively, phrasedAsCertain, proposedNewCode, unknown)",S,8
"Helping > (guideInteractively, phrasedAsCertain, proposedNewCode, vague)",F,35
"Helping > (guideInteractively, phrasedAsCertain, proposedNewCode, vague)",S,56
"Helping > (guideInteractively, phrasedAsCertain, testCases, detailed)",F,1
"Helping > (guideInteractively, phrasedAsCertain, testCases, detailed)",S,4
"Helping > (guideInteractively, phrasedAsCertain, testCases, unknown)",F,1
"Helping > (guideInteractively, phrasedAsCertain, testCases, unknown)",S,0
"Helping > (guideInteractively, phrasedAsCertain, testCases, vague)",F,0
"Helping > (guideInteractively, phrasedAsCertain, testCases, vague)",S,1
"Helping > (guideInteractively, phrasedAsUnsure, bug, detailed)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, bug, detailed)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, bug, unknown)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, bug, unknown)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, bug, vague)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, bug, vague)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codeOpinion, detailed)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codeOpinion, detailed)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codeOpinion, unknown)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codeOpinion, unknown)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codeOpinion, vague)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codeOpinion, vague)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codeSpecifications, detailed)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codeSpecifications, detailed)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codeSpecifications, unknown)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codeSpecifications, unknown)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codeSpecifications, vague)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codeSpecifications, vague)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codingConcept, detailed)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codingConcept, detailed)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codingConcept, unknown)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codingConcept, unknown)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codingConcept, vague)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codingConcept, vague)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codingExperience, detailed)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codingExperience, detailed)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codingExperience, unknown)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codingExperience, unknown)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, codingExperience, vague)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, codingExperience, vague)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, developmentStrategy, detailed)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, developmentStrategy, detailed)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, developmentStrategy, unknown)",F,1
"Helping > (guideInteractively, phrasedAsUnsure, developmentStrategy, unknown)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, developmentStrategy, vague)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, developmentStrategy, vague)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, errorLocation, detailed)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, errorLocation, detailed)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, errorLocation, unknown)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, errorLocation, unknown)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, errorLocation, vague)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, errorLocation, vague)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, errorMsg, detailed)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, errorMsg, detailed)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, errorMsg, unknown)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, errorMsg, unknown)",S,0
"Helping > (guideInteractively, phrasedAsUnsure, errorMsg, vague)",F,0
"Helping > (guideInteractively, phrasedAsUnsure, errorMsg, vague)",S,0
