0
"Helping > (state, phrasedAsCertain, bug)"
"Helping > (positiveConfirmation, phrasedAsCertain, learningResources)"
"Helping > (positiveConfirmation, phrasedAsUnsure, learningResources)"
"Helping > (positiveConfirmation, unknown, learningResources)"
"Helping > (implement, phrasedAsCertain, learningResources)"
"Helping > (implement, phrasedAsUnsure, learningResources)"
"Helping > (implement, unknown, learningResources)"
"Helping > (negativeConfirmation, phrasedAsCertain, learningResources)"
"Helping > (negativeConfirmation, phrasedAsUnsure, learningResources)"
"Helping > (negativeConfirmation, unknown, learningResources)"
"Helping > (state, phrasedAsCertain, originalCode)"
"Helping > (state, phrasedAsUnsure, originalCode)"
"Helping > (state, unknown, originalCode)"
"Helping > (positiveConfirmation, phrasedAsCertain, originalCode)"
"Helping > (positiveConfirmation, phrasedAsUnsure, originalCode)"
"Helping > (positiveConfirmation, unknown, originalCode)"
"Helping > (implement, phrasedAsCertain, originalCode)"
"Helping > (implement, phrasedAsUnsure, originalCode)"
"Helping > (implement, unknown, originalCode)"
"Helping > (negativeConfirmation, phrasedAsCertain, originalCode)"
"Helping > (negativeConfirmation, phrasedAsUnsure, originalCode)"
"Helping > (negativeConfirmation, unknown, originalCode)"
"Helping > (state, phrasedAsCertain, personalInfo)"
"Helping > (state, phrasedAsUnsure, personalInfo)"
"Helping > (state, unknown, personalInfo)"
"Helping > (positiveConfirmation, phrasedAsCertain, personalInfo)"
"Helping > (positiveConfirmation, phrasedAsUnsure, personalInfo)"
"Helping > (positiveConfirmation, unknown, personalInfo)"
"Helping > (implement, phrasedAsCertain, personalInfo)"
"Helping > (implement, phrasedAsUnsure, personalInfo)"
"Helping > (implement, unknown, personalInfo)"
"Helping > (negativeConfirmation, phrasedAsCertain, personalInfo)"
"Helping > (negativeConfirmation, phrasedAsUnsure, personalInfo)"
"Helping > (negativeConfirmation, unknown, personalInfo)"
"Helping > (state, phrasedAsCertain, platformRelated)"
"Helping > (state, phrasedAsUnsure, platformRelated)"
"Helping > (state, unknown, platformRelated)"
"Helping > (positiveConfirmation, phrasedAsCertain, platformRelated)"
"Helping > (positiveConfirmation, phrasedAsUnsure, platformRelated)"
"Helping > (positiveConfirmation, unknown, platformRelated)"
"Helping > (implement, phrasedAsCertain, platformRelated)"
"Helping > (implement, phrasedAsUnsure, platformRelated)"
"Helping > (implement, unknown, platformRelated)"
"Helping > (negativeConfirmation, phrasedAsCertain, platformRelated)"
"Helping > (negativeConfirmation, phrasedAsUnsure, platformRelated)"
"Helping > (negativeConfirmation, unknown, platformRelated)"
"Helping > (state, phrasedAsCertain, proposedNewCode)"
"Helping > (state, phrasedAsUnsure, proposedNewCode)"
"Helping > (state, unknown, proposedNewCode)"
"Helping > (positiveConfirmation, phrasedAsCertain, proposedNewCode)"
"Helping > (positiveConfirmation, phrasedAsUnsure, proposedNewCode)"
"Helping > (positiveConfirmation, unknown, proposedNewCode)"
"Helping > (implement, phrasedAsCertain, proposedNewCode)"
"Helping > (implement, phrasedAsUnsure, proposedNewCode)"
"Helping > (implement, unknown, proposedNewCode)"
"Helping > (negativeConfirmation, phrasedAsCertain, proposedNewCode)"
"Helping > (negativeConfirmation, phrasedAsUnsure, proposedNewCode)"
"Helping > (negativeConfirmation, unknown, proposedNewCode)"
"Helping > (state, phrasedAsCertain, testCases)"
"Helping > (state, phrasedAsUnsure, testCases)"
"Helping > (state, unknown, testCases)"
"Helping > (positiveConfirmation, phrasedAsCertain, testCases)"
"Helping > (positiveConfirmation, phrasedAsUnsure, testCases)"
"Helping > (positiveConfirmation, unknown, testCases)"
"Helping > (implement, phrasedAsCertain, testCases)"
"Helping > (implement, phrasedAsUnsure, testCases)"
"Helping > (implement, unknown, testCases)"
"Helping > (negativeConfirmation, phrasedAsCertain, testCases)"
"Helping > (negativeConfirmation, phrasedAsUnsure, testCases)"
"Helping > (negativeConfirmation, unknown, testCases)"
"Helping > (explain, phrasedAsCertain, bug, detailed)"
"Helping > (explain, phrasedAsUnsure, bug, detailed)"
"Helping > (explain, unknown, bug, detailed)"
"Helping > (suggest, phrasedAsCertain, bug, detailed)"
"Helping > (suggest, phrasedAsUnsure, bug, detailed)"
"Helping > (suggest, unknown, bug, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, bug, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, bug, detailed)"
"Helping > (guideInteractively, unknown, bug, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, bug, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, bug, detailed)"
"Helping > (teachWithExtensions, unknown, bug, detailed)"
"Helping > (explain, phrasedAsCertain, codeOpinion, detailed)"
"Helping > (explain, phrasedAsUnsure, codeOpinion, detailed)"
"Helping > (explain, unknown, codeOpinion, detailed)"
"Helping > (suggest, phrasedAsCertain, codeOpinion, detailed)"
"Helping > (suggest, phrasedAsUnsure, codeOpinion, detailed)"
"Helping > (suggest, unknown, codeOpinion, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, codeOpinion, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, codeOpinion, detailed)"
"Helping > (guideInteractively, unknown, codeOpinion, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, codeOpinion, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codeOpinion, detailed)"
"Helping > (teachWithExtensions, unknown, codeOpinion, detailed)"
"Helping > (explain, phrasedAsCertain, codeSpecifications, detailed)"
"Helping > (explain, phrasedAsUnsure, codeSpecifications, detailed)"
"Helping > (explain, unknown, codeSpecifications, detailed)"
"Helping > (suggest, phrasedAsCertain, codeSpecifications, detailed)"
"Helping > (suggest, phrasedAsUnsure, codeSpecifications, detailed)"
"Helping > (suggest, unknown, codeSpecifications, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, codeSpecifications, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, codeSpecifications, detailed)"
"Helping > (guideInteractively, unknown, codeSpecifications, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, codeSpecifications, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codeSpecifications, detailed)"
"Helping > (teachWithExtensions, unknown, codeSpecifications, detailed)"
"Helping > (explain, phrasedAsCertain, codingConcept, detailed)"
"Helping > (explain, phrasedAsUnsure, codingConcept, detailed)"
"Helping > (explain, unknown, codingConcept, detailed)"
"Helping > (suggest, phrasedAsCertain, codingConcept, detailed)"
"Helping > (suggest, phrasedAsUnsure, codingConcept, detailed)"
"Helping > (suggest, unknown, codingConcept, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, codingConcept, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, codingConcept, detailed)"
"Helping > (guideInteractively, unknown, codingConcept, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, codingConcept, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codingConcept, detailed)"
"Helping > (teachWithExtensions, unknown, codingConcept, detailed)"
"Helping > (explain, phrasedAsCertain, codingExperience, detailed)"
"Helping > (explain, phrasedAsUnsure, codingExperience, detailed)"
"Helping > (explain, unknown, codingExperience, detailed)"
"Helping > (suggest, phrasedAsCertain, codingExperience, detailed)"
"Helping > (suggest, phrasedAsUnsure, codingExperience, detailed)"
"Helping > (suggest, unknown, codingExperience, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, codingExperience, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, codingExperience, detailed)"
"Helping > (guideInteractively, unknown, codingExperience, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, codingExperience, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codingExperience, detailed)"
"Helping > (teachWithExtensions, unknown, codingExperience, detailed)"
"Helping > (explain, phrasedAsCertain, developmentStrategy, detailed)"
"Helping > (explain, phrasedAsUnsure, developmentStrategy, detailed)"
"Helping > (explain, unknown, developmentStrategy, detailed)"
"Helping > (suggest, phrasedAsCertain, developmentStrategy, detailed)"
"Helping > (suggest, phrasedAsUnsure, developmentStrategy, detailed)"
"Helping > (suggest, unknown, developmentStrategy, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, developmentStrategy, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, developmentStrategy, detailed)"
"Helping > (guideInteractively, unknown, developmentStrategy, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, developmentStrategy, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, developmentStrategy, detailed)"
"Helping > (teachWithExtensions, unknown, developmentStrategy, detailed)"
"Helping > (explain, phrasedAsCertain, errorLocation, detailed)"
"Helping > (explain, phrasedAsUnsure, errorLocation, detailed)"
"Helping > (explain, unknown, errorLocation, detailed)"
"Helping > (suggest, phrasedAsCertain, errorLocation, detailed)"
"Helping > (suggest, phrasedAsUnsure, errorLocation, detailed)"
"Helping > (suggest, unknown, errorLocation, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, errorLocation, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, errorLocation, detailed)"
"Helping > (guideInteractively, unknown, errorLocation, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, errorLocation, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, errorLocation, detailed)"
"Helping > (teachWithExtensions, unknown, errorLocation, detailed)"
"Helping > (explain, phrasedAsCertain, errorMsg, detailed)"
"Helping > (explain, phrasedAsUnsure, errorMsg, detailed)"
"Helping > (explain, unknown, errorMsg, detailed)"
"Helping > (suggest, phrasedAsCertain, errorMsg, detailed)"
"Helping > (suggest, phrasedAsUnsure, errorMsg, detailed)"
"Helping > (suggest, unknown, errorMsg, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, errorMsg, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, errorMsg, detailed)"
"Helping > (guideInteractively, unknown, errorMsg, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, errorMsg, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, errorMsg, detailed)"
"Helping > (teachWithExtensions, unknown, errorMsg, detailed)"
"Helping > (explain, phrasedAsCertain, learningResources, detailed)"
"Helping > (explain, phrasedAsUnsure, learningResources, detailed)"
"Helping > (explain, unknown, learningResources, detailed)"
"Helping > (suggest, phrasedAsCertain, learningResources, detailed)"
"Helping > (suggest, phrasedAsUnsure, learningResources, detailed)"
"Helping > (suggest, unknown, learningResources, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, learningResources, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, learningResources, detailed)"
"Helping > (guideInteractively, unknown, learningResources, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, learningResources, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, learningResources, detailed)"
"Helping > (teachWithExtensions, unknown, learningResources, detailed)"
"Helping > (explain, phrasedAsCertain, originalCode, detailed)"
"Helping > (explain, phrasedAsUnsure, originalCode, detailed)"
"Helping > (explain, unknown, originalCode, detailed)"
"Helping > (suggest, phrasedAsCertain, originalCode, detailed)"
"Helping > (suggest, phrasedAsUnsure, originalCode, detailed)"
"Helping > (suggest, unknown, originalCode, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, originalCode, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, originalCode, detailed)"
"Helping > (guideInteractively, unknown, originalCode, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, originalCode, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, originalCode, detailed)"
"Helping > (teachWithExtensions, unknown, originalCode, detailed)"
"Helping > (explain, phrasedAsCertain, personalInfo, detailed)"
"Helping > (explain, phrasedAsUnsure, personalInfo, detailed)"
"Helping > (explain, unknown, personalInfo, detailed)"
"Helping > (suggest, phrasedAsCertain, personalInfo, detailed)"
"Helping > (suggest, phrasedAsUnsure, personalInfo, detailed)"
"Helping > (suggest, unknown, personalInfo, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, personalInfo, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, personalInfo, detailed)"
"Helping > (guideInteractively, unknown, personalInfo, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, personalInfo, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, personalInfo, detailed)"
"Helping > (teachWithExtensions, unknown, personalInfo, detailed)"
"Helping > (explain, phrasedAsCertain, platformRelated, detailed)"
"Helping > (explain, phrasedAsUnsure, platformRelated, detailed)"
"Helping > (explain, unknown, platformRelated, detailed)"
"Helping > (suggest, phrasedAsCertain, platformRelated, detailed)"
"Helping > (suggest, phrasedAsUnsure, platformRelated, detailed)"
"Helping > (suggest, unknown, platformRelated, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, platformRelated, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, platformRelated, detailed)"
"Helping > (guideInteractively, unknown, platformRelated, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, platformRelated, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, platformRelated, detailed)"
"Helping > (teachWithExtensions, unknown, platformRelated, detailed)"
"Helping > (explain, phrasedAsCertain, proposedNewCode, detailed)"
"Helping > (explain, phrasedAsUnsure, proposedNewCode, detailed)"
"Helping > (explain, unknown, proposedNewCode, detailed)"
"Helping > (suggest, phrasedAsCertain, proposedNewCode, detailed)"
"Helping > (suggest, phrasedAsUnsure, proposedNewCode, detailed)"
"Helping > (suggest, unknown, proposedNewCode, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, proposedNewCode, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, proposedNewCode, detailed)"
"Helping > (guideInteractively, unknown, proposedNewCode, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, proposedNewCode, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, proposedNewCode, detailed)"
"Helping > (teachWithExtensions, unknown, proposedNewCode, detailed)"
"Helping > (explain, phrasedAsCertain, testCases, detailed)"
"Helping > (explain, phrasedAsUnsure, testCases, detailed)"
"Helping > (explain, unknown, testCases, detailed)"
"Helping > (suggest, phrasedAsCertain, testCases, detailed)"
"Helping > (suggest, phrasedAsUnsure, testCases, detailed)"
"Helping > (suggest, unknown, testCases, detailed)"
"Helping > (guideInteractively, phrasedAsCertain, testCases, detailed)"
"Helping > (guideInteractively, phrasedAsUnsure, testCases, detailed)"
"Helping > (guideInteractively, unknown, testCases, detailed)"
"Helping > (teachWithExtensions, phrasedAsCertain, testCases, detailed)"
"Helping > (teachWithExtensions, phrasedAsUnsure, testCases, detailed)"
"Helping > (teachWithExtensions, unknown, testCases, detailed)"
"Helping > (explain, phrasedAsCertain, bug, vague)"
"Helping > (explain, phrasedAsUnsure, bug, vague)"
"Helping > (explain, unknown, bug, vague)"
"Helping > (suggest, phrasedAsCertain, bug, vague)"
"Helping > (suggest, phrasedAsUnsure, bug, vague)"
"Helping > (suggest, unknown, bug, vague)"
"Helping > (guideInteractively, phrasedAsCertain, bug, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, bug, vague)"
"Helping > (guideInteractively, unknown, bug, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, bug, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, bug, vague)"
"Helping > (teachWithExtensions, unknown, bug, vague)"
"Helping > (explain, phrasedAsCertain, codeOpinion, vague)"
"Helping > (explain, phrasedAsUnsure, codeOpinion, vague)"
"Helping > (explain, unknown, codeOpinion, vague)"
"Helping > (suggest, phrasedAsCertain, codeOpinion, vague)"
"Helping > (suggest, phrasedAsUnsure, codeOpinion, vague)"
"Helping > (suggest, unknown, codeOpinion, vague)"
"Helping > (guideInteractively, phrasedAsCertain, codeOpinion, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, codeOpinion, vague)"
"Helping > (guideInteractively, unknown, codeOpinion, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, codeOpinion, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codeOpinion, vague)"
"Helping > (teachWithExtensions, unknown, codeOpinion, vague)"
"Helping > (explain, phrasedAsCertain, codeSpecifications, vague)"
"Helping > (explain, phrasedAsUnsure, codeSpecifications, vague)"
"Helping > (explain, unknown, codeSpecifications, vague)"
"Helping > (suggest, phrasedAsCertain, codeSpecifications, vague)"
"Helping > (suggest, phrasedAsUnsure, codeSpecifications, vague)"
"Helping > (suggest, unknown, codeSpecifications, vague)"
"Helping > (guideInteractively, phrasedAsCertain, codeSpecifications, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, codeSpecifications, vague)"
"Helping > (guideInteractively, unknown, codeSpecifications, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, codeSpecifications, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codeSpecifications, vague)"
"Helping > (teachWithExtensions, unknown, codeSpecifications, vague)"
"Helping > (explain, phrasedAsCertain, codingConcept, vague)"
"Helping > (explain, phrasedAsUnsure, codingConcept, vague)"
"Helping > (explain, unknown, codingConcept, vague)"
"Helping > (suggest, phrasedAsCertain, codingConcept, vague)"
"Helping > (suggest, phrasedAsUnsure, codingConcept, vague)"
"Helping > (suggest, unknown, codingConcept, vague)"
"Helping > (guideInteractively, phrasedAsCertain, codingConcept, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, codingConcept, vague)"
"Helping > (guideInteractively, unknown, codingConcept, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, codingConcept, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codingConcept, vague)"
"Helping > (teachWithExtensions, unknown, codingConcept, vague)"
"Helping > (explain, phrasedAsCertain, codingExperience, vague)"
"Helping > (explain, phrasedAsUnsure, codingExperience, vague)"
"Helping > (explain, unknown, codingExperience, vague)"
"Helping > (suggest, phrasedAsCertain, codingExperience, vague)"
"Helping > (suggest, phrasedAsUnsure, codingExperience, vague)"
"Helping > (suggest, unknown, codingExperience, vague)"
"Helping > (guideInteractively, phrasedAsCertain, codingExperience, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, codingExperience, vague)"
"Helping > (guideInteractively, unknown, codingExperience, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, codingExperience, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, codingExperience, vague)"
"Helping > (teachWithExtensions, unknown, codingExperience, vague)"
"Helping > (explain, phrasedAsCertain, developmentStrategy, vague)"
"Helping > (explain, phrasedAsUnsure, developmentStrategy, vague)"
"Helping > (explain, unknown, developmentStrategy, vague)"
"Helping > (suggest, phrasedAsCertain, developmentStrategy, vague)"
"Helping > (suggest, phrasedAsUnsure, developmentStrategy, vague)"
"Helping > (suggest, unknown, developmentStrategy, vague)"
"Helping > (guideInteractively, phrasedAsCertain, developmentStrategy, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, developmentStrategy, vague)"
"Helping > (guideInteractively, unknown, developmentStrategy, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, developmentStrategy, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, developmentStrategy, vague)"
"Helping > (teachWithExtensions, unknown, developmentStrategy, vague)"
"Helping > (explain, phrasedAsCertain, errorLocation, vague)"
"Helping > (explain, phrasedAsUnsure, errorLocation, vague)"
"Helping > (explain, unknown, errorLocation, vague)"
"Helping > (suggest, phrasedAsCertain, errorLocation, vague)"
"Helping > (suggest, phrasedAsUnsure, errorLocation, vague)"
"Helping > (suggest, unknown, errorLocation, vague)"
"Helping > (guideInteractively, phrasedAsCertain, errorLocation, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, errorLocation, vague)"
"Helping > (guideInteractively, unknown, errorLocation, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, errorLocation, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, errorLocation, vague)"
"Helping > (teachWithExtensions, unknown, errorLocation, vague)"
"Helping > (explain, phrasedAsCertain, errorMsg, vague)"
"Helping > (explain, phrasedAsUnsure, errorMsg, vague)"
"Helping > (explain, unknown, errorMsg, vague)"
"Helping > (suggest, phrasedAsCertain, errorMsg, vague)"
"Helping > (suggest, phrasedAsUnsure, errorMsg, vague)"
"Helping > (suggest, unknown, errorMsg, vague)"
"Helping > (guideInteractively, phrasedAsCertain, errorMsg, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, errorMsg, vague)"
"Helping > (guideInteractively, unknown, errorMsg, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, errorMsg, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, errorMsg, vague)"
"Helping > (teachWithExtensions, unknown, errorMsg, vague)"
"Helping > (explain, phrasedAsCertain, learningResources, vague)"
"Helping > (explain, phrasedAsUnsure, learningResources, vague)"
"Helping > (explain, unknown, learningResources, vague)"
"Helping > (suggest, phrasedAsCertain, learningResources, vague)"
"Helping > (suggest, phrasedAsUnsure, learningResources, vague)"
"Helping > (suggest, unknown, learningResources, vague)"
"Helping > (guideInteractively, phrasedAsCertain, learningResources, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, learningResources, vague)"
"Helping > (guideInteractively, unknown, learningResources, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, learningResources, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, learningResources, vague)"
"Helping > (teachWithExtensions, unknown, learningResources, vague)"
"Helping > (explain, phrasedAsCertain, originalCode, vague)"
"Helping > (explain, phrasedAsUnsure, originalCode, vague)"
"Helping > (explain, unknown, originalCode, vague)"
"Helping > (suggest, phrasedAsCertain, originalCode, vague)"
"Helping > (suggest, phrasedAsUnsure, originalCode, vague)"
"Helping > (suggest, unknown, originalCode, vague)"
"Helping > (guideInteractively, phrasedAsCertain, originalCode, vague)"
"Helping > (guideInteractively, phrasedAsUnsure, originalCode, vague)"
"Helping > (guideInteractively, unknown, originalCode, vague)"
"Helping > (teachWithExtensions, phrasedAsCertain, originalCode, vague)"
"Helping > (teachWithExtensions, phrasedAsUnsure, originalCode, vague)"
"Helping > (teachWithExtensions, unknown, originalCode, vague)"
"Helping > (explain, phrasedAsCertain, personalInfo, vague)"
"Helping > (explain, phrasedAsUnsure, personalInfo, vague)"
"Helping > (explain, unknown, personalInfo, vague)"
"Helping > (suggest, phrasedAsCertain, personalInfo, vague)"
