Name,Requirements/Planning: (codeSpecs) relationship between the input and outputs,"Program Design: if the current user has control of what the program implementaion is (e.g., recursive vs not) then it program design",Implementation: executing the program plan,Testing/Vertification,AND,OR,NOTES
hOl1wgs6dP.txt,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,
GVkgvHvM5x.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
IcTPznP9pK.txt,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,
idguEatSf4.txt,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,
KrgaUnySs9.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
l6L1Q9LPE6.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
l79lh5FKHH.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
lG75Qwus9f.txt,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,
hzakn6ot9M.txt,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,
LQtcp09Poj.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
mEEt27El2H.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
mLsc5Qhd2T.txt,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,
nFzesfr8LM.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
jgycQAyRef.txt,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,
odmTAdIGmb.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,explaining a concept
OwGP2V9HqO.txt,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,
P0bldfytH1.txt,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,
ps3U3c46CV.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
QqCKExBKmp.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,exam questions
NS0NgeyjzM.txt,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,femisnt chat
Rsmx9wV262.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,x
t8RBsvLrqA.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,exxam question
o9yFUUEhys.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
VUhFKwTpRT.txt,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
xD5ImRiNni.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
xpjEbgF59H.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
yaIRqVmIv3.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
yJnek12lvC.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
Py0LDeq9Fn.txt,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
QBqEkkfh0N.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,comprehension
qDgBDpoQ7x.txt,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,
Qvina6Aln9.txt,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
R7ghrADaMf.txt,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,
SfUOswpMVT.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
SnHdzR6C2E.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
tuhRw4C4Po.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,x
Tw8SjgKHkE.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,x
UaMcw4PLym.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
V6CTuQHMsa.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
wffOOxAT2N.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
MHQbpUGMPt.txt,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,
61fPqmTN8w.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,x
7dFlizjIUl.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,comprehension
nvPpBOafGk.txt,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,
pIJxekdKUU.txt,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,
DV5GSIwytM.txt,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
C1KQHH5Fwt.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,comprehension/learning about using functions
oE2jfe4wIr.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,difference between funcitons
I9VVNFEMbn.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
o6Ic9dp5O5.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,x
6wO85TkyPV.txt,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,
eBS0fslIHL.txt,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,
KDeDif5VK2.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
0jVhiUnO00.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
KdpIdnyC1e.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
9aF3PjtySr.txt,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,
HNzaHs0bxj.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
ifiSVMunum.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
6SmruBFHag.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,comprehend bug
6GhHUL3ja4.txt,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,
PttugHGtsT.txt,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,
jLnKNAbfw1.txt,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,simplify function
9SuvG95Mnb.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,
HVtjgujPjm.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
3N9nlnv8vQ.txt,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,
3aI7QCdMmp.txt,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,
6Gnq0N3H5k.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
D1a7om29AG.txt,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,
,,,,,,,
,,,,,,,
,,,,,,,
5f14cjPPt8.txt,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,
3KxjNlvJ0z.txt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,comprehension
,,,,,,,
,,,,,,,
4fJHoFJuGw.txt,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,x
dGw500Ha7A.txt,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,
,,,,,,,
,82,64,73,51,33,14,
,,,,,,90,
